,State,Year,Quater,Transaction_area,Registered_Users
2002,gujarat,2019,4,ahmadabad,2015947
2003,gujarat,2019,4,surat,1624077
2004,gujarat,2019,4,vadodara,700817
2005,gujarat,2019,4,rajkot,426178
2006,gujarat,2019,4,gandhinagar,408526
2007,gujarat,2019,4,bharuch,350619
2008,gujarat,2019,4,banas kantha,339582
2009,gujarat,2019,4,mahesana,316985
2010,gujarat,2019,4,kachchh,314732
2011,gujarat,2019,4,valsad,296977
2012,gujarat,2020,1,ahmadabad,2185983
2013,gujarat,2020,1,surat,1772703
2014,gujarat,2020,1,vadodara,763969
2015,gujarat,2020,1,rajkot,469636
2016,gujarat,2020,1,gandhinagar,445290
2017,gujarat,2020,1,banas kantha,386212
2018,gujarat,2020,1,bharuch,384819
2019,gujarat,2020,1,mahesana,349897
2020,gujarat,2020,1,kachchh,347270
2021,gujarat,2020,1,valsad,330053
2022,gujarat,2020,2,ahmadabad,2384154
2023,gujarat,2020,2,surat,1935894
2024,gujarat,2020,2,vadodara,830759
2025,gujarat,2020,2,rajkot,522650
2026,gujarat,2020,2,gandhinagar,488351
2027,gujarat,2020,2,banas kantha,446603
2028,gujarat,2020,2,bharuch,423017
2029,gujarat,2020,2,mahesana,389562
2030,gujarat,2020,2,kachchh,385480
2031,gujarat,2020,2,valsad,372771
2032,gujarat,2020,3,ahmadabad,2580178
2033,gujarat,2020,3,surat,2092712
2034,gujarat,2020,3,vadodara,901492
2035,gujarat,2020,3,rajkot,573062
2036,gujarat,2020,3,gandhinagar,529771
2037,gujarat,2020,3,banas kantha,501471
2038,gujarat,2020,3,bharuch,462292
2039,gujarat,2020,3,mahesana,427950
2040,gujarat,2020,3,kachchh,423729
2041,gujarat,2020,3,valsad,410740
2042,gujarat,2020,4,ahmadabad,2787991
2043,gujarat,2020,4,surat,2278232
2044,gujarat,2020,4,vadodara,980658
2045,gujarat,2020,4,rajkot,627654
2046,gujarat,2020,4,gandhinagar,572461
2047,gujarat,2020,4,banas kantha,551645
2048,gujarat,2020,4,bharuch,508005
2049,gujarat,2020,4,kachchh,466855
2050,gujarat,2020,4,mahesana,464932
2051,gujarat,2020,4,valsad,452628
2052,gujarat,2021,1,ahmadabad,2999575
2053,gujarat,2021,1,surat,2458596
2054,gujarat,2021,1,vadodara,1053954
2055,gujarat,2021,1,rajkot,677301
2056,gujarat,2021,1,gandhinagar,615315
2057,gujarat,2021,1,banas kantha,598384
2058,gujarat,2021,1,bharuch,548541
2059,gujarat,2021,1,kachchh,505517
2060,gujarat,2021,1,mahesana,500511
2061,gujarat,2021,1,valsad,489062
2062,gujarat,2021,2,ahmadabad,3209841
2063,gujarat,2021,2,surat,2633443
2064,gujarat,2021,2,vadodara,1127636
2065,gujarat,2021,2,rajkot,726817
2066,gujarat,2021,2,gandhinagar,658428
2067,gujarat,2021,2,banas kantha,645073
2068,gujarat,2021,2,bharuch,588777
2069,gujarat,2021,2,kachchh,543585
2070,gujarat,2021,2,mahesana,536645
2071,gujarat,2021,2,valsad,524614
2072,gujarat,2021,3,ahmadabad,3445024
2073,gujarat,2021,3,surat,2830392
2074,gujarat,2021,3,vadodara,1210266
2075,gujarat,2021,3,rajkot,782611
2076,gujarat,2021,3,gandhinagar,706654
2077,gujarat,2021,3,banas kantha,698841
2078,gujarat,2021,3,bharuch,634589
2079,gujarat,2021,3,kachchh,587589
2080,gujarat,2021,3,mahesana,578072
2081,gujarat,2021,3,valsad,565423
2082,gujarat,2021,4,ahmadabad,3679243
2083,gujarat,2021,4,surat,3026960
2084,gujarat,2021,4,vadodara,1292097
2085,gujarat,2021,4,rajkot,837869
2086,gujarat,2021,4,gandhinagar,754369
2087,gujarat,2021,4,banas kantha,751116
2088,gujarat,2021,4,bharuch,679705
2089,gujarat,2021,4,kachchh,630878
2090,gujarat,2021,4,mahesana,618376
2091,gujarat,2021,4,valsad,605655
2092,gujarat,2022,1,ahmadabad,3897869
2093,gujarat,2022,1,surat,3210535
2094,gujarat,2022,1,vadodara,1368210
2095,gujarat,2022,1,rajkot,889499
2096,gujarat,2022,1,banas kantha,802470
2097,gujarat,2022,1,gandhinagar,799301
2098,gujarat,2022,1,bharuch,722367
2099,gujarat,2022,1,kachchh,671465
2100,gujarat,2022,1,mahesana,656908
2101,gujarat,2022,1,valsad,643742
2102,gujarat,2022,2,ahmadabad,4105172
2103,gujarat,2022,2,surat,3385398
2104,gujarat,2022,2,vadodara,1440949
2105,gujarat,2022,2,rajkot,937863
2106,gujarat,2022,2,banas kantha,849884
2107,gujarat,2022,2,gandhinagar,841732
2108,gujarat,2022,2,bharuch,762752
2109,gujarat,2022,2,kachchh,709339
2110,gujarat,2022,2,mahesana,692794
2111,gujarat,2022,2,valsad,679340
2112,gujarat,2022,3,ahmadabad,4319512
2113,gujarat,2022,3,surat,3567767
2114,gujarat,2022,3,vadodara,1515556
2115,gujarat,2022,3,rajkot,986904
2116,gujarat,2022,3,banas kantha,896869
2117,gujarat,2022,3,gandhinagar,885535
2118,gujarat,2022,3,bharuch,803845
2119,gujarat,2022,3,kachchh,747079
2120,gujarat,2022,3,mahesana,729723
2121,gujarat,2022,3,valsad,716467
2122,gujarat,2022,4,ahmadabad,4530853
2123,gujarat,2022,4,surat,3747780
2124,gujarat,2022,4,vadodara,1587831
2125,gujarat,2022,4,rajkot,1033159
2126,gujarat,2022,4,banas kantha,939693
2127,gujarat,2022,4,gandhinagar,927585
2128,gujarat,2022,4,bharuch,842519
2129,gujarat,2022,4,kachchh,781383
2130,gujarat,2022,4,mahesana,763693
2131,gujarat,2022,4,valsad,751767
2132,gujarat,2023,1,ahmadabad,4734630
2133,gujarat,2023,1,surat,3919829
2134,gujarat,2023,1,vadodara,1658232
2135,gujarat,2023,1,rajkot,1079736
2136,gujarat,2023,1,banas kantha,985280
2137,gujarat,2023,1,gandhinagar,968586
2138,gujarat,2023,1,bharuch,881508
2139,gujarat,2023,1,kachchh,817441
2140,gujarat,2023,1,mahesana,798353
2141,gujarat,2023,1,valsad,786811
2142,gujarat,2023,2,ahmadabad,4913610
2143,gujarat,2023,2,surat,4076929
2144,gujarat,2023,2,vadodara,1721431
2145,gujarat,2023,2,rajkot,1123115
2146,gujarat,2023,2,banas kantha,1030499
2147,gujarat,2023,2,gandhinagar,1005603
2148,gujarat,2023,2,bharuch,917746
2149,gujarat,2023,2,kachchh,853047
2150,gujarat,2023,2,mahesana,831177
2151,gujarat,2023,2,valsad,818831
2152,gujarat,2023,3,ahmadabad,5105557
2153,gujarat,2023,3,surat,4238878
2154,gujarat,2023,3,vadodara,1789238
2155,gujarat,2023,3,rajkot,1167848
2156,gujarat,2023,3,banas kantha,1074757
2157,gujarat,2023,3,gandhinagar,1044993
2158,gujarat,2023,3,bharuch,955541
2159,gujarat,2023,3,kachchh,888857
2160,gujarat,2023,3,mahesana,864845
2161,gujarat,2023,3,valsad,852301
2162,gujarat,2023,4,ahmadabad,5282400
2163,gujarat,2023,4,surat,4396038
2164,gujarat,2023,4,vadodara,1851909
2165,gujarat,2023,4,rajkot,1210023
2166,gujarat,2023,4,banas kantha,1116214
2167,gujarat,2023,4,gandhinagar,1080850
2168,gujarat,2023,4,bharuch,991279
2169,gujarat,2023,4,kachchh,922553
2170,gujarat,2023,4,mahesana,895934
2171,gujarat,2023,4,valsad,883746
2172,gujarat,2024,1,ahmadabad,5485010
2173,gujarat,2024,1,surat,4569769
2174,gujarat,2024,1,vadodara,1923948
2175,gujarat,2024,1,rajkot,1258350
2176,gujarat,2024,1,banas kantha,1165004
2177,gujarat,2024,1,gandhinagar,1122367
2178,gujarat,2024,1,bharuch,1032496
2179,gujarat,2024,1,kachchh,962243
2180,gujarat,2024,1,mahesana,931768
2181,gujarat,2024,1,valsad,919660
2182,gujarat,2024,2,ahmadabad,5693015
2183,gujarat,2024,2,surat,4747919
2184,gujarat,2024,2,vadodara,1996837
2185,gujarat,2024,2,rajkot,1306577
2186,gujarat,2024,2,banas kantha,1210784
2187,gujarat,2024,2,gandhinagar,1164291
2188,gujarat,2024,2,bharuch,1072930
2189,gujarat,2024,2,kachchh,999285
2190,gujarat,2024,2,mahesana,967060
2191,gujarat,2024,2,valsad,955703
2192,gujarat,2024,3,ahmedabad,5580316
2193,gujarat,2024,3,surat,4957655
2194,gujarat,2024,3,vadodara,1840568
2195,gujarat,2024,3,rajkot,1464200
2196,gujarat,2024,3,banaskantha,1368759
2197,gujarat,2024,3,gandhinagar,1231807
2198,gujarat,2024,3,kachchh,1163061
2199,gujarat,2024,3,bharuch,1024612
2200,gujarat,2024,3,valsad,992156
2201,gujarat,2024,3,mahesana,954366
2202,gujarat,2024,4,ahmedabad,5702922
2203,gujarat,2024,4,surat,5048172
2204,gujarat,2024,4,vadodara,1888611
2205,gujarat,2024,4,rajkot,1505556
2206,gujarat,2024,4,banaskantha,1417046
2207,gujarat,2024,4,gandhinagar,1260236
2208,gujarat,2024,4,kachchh,1194949
2209,gujarat,2024,4,bharuch,1050539
2210,gujarat,2024,4,valsad,1018017
2211,gujarat,2024,4,mahesana,981097
2212,haryana,2018,1,gurugram,474081
2213,haryana,2018,1,faridabad,231504
2214,haryana,2018,1,hisar,113872
2215,haryana,2018,1,rewari,85350
2216,haryana,2018,1,sonipat,79638
